models_fitness	models_synergies_tp	models_synergies_fp	models_synergies_tn	models_synergies_fn	models_sensitivity	models_specificity	models_precision	models_fpr
topology.sif_run_13__G19_M6.gitsbe	0.6119403	0	4	132	17	0	0.970588235294118	0	0.0294117647058824
topology.sif_run_37__G19_M0.gitsbe	0.63432837	4	5	131	13	0.235294117647059	0.963235294117647	0.444444444444444	0.0367647058823529
topology.sif_run_314__G19_M7.gitsbe	0.6119403	2	7	129	15	0.117647058823529	0.948529411764706	0.222222222222222	0.0514705882352941
topology.sif_run_365__G19_M2.gitsbe	0.6567164	3	5	131	14	0.176470588235294	0.963235294117647	0.375	0.0367647058823529
topology.sif_run_249__G19_M1.gitsbe	0.6567164	4	6	130	13	0.235294117647059	0.955882352941177	0.4	0.0441176470588235
topology.sif_run_46__G19_M14.gitsbe	0.6492537	1	7	129	16	0.0588235294117647	0.948529411764706	0.125	0.0514705882352941
topology.sif_run_28__G19_M4.gitsbe	0.6492537	4	7	129	13	0.235294117647059	0.948529411764706	0.363636363636364	0.0514705882352941
topology.sif_run_34__G19_M3.gitsbe	0.64179105	4	6	130	13	0.235294117647059	0.955882352941177	0.4	0.0441176470588235
topology.sif_run_72__G19_M1.gitsbe	0.6641791	5	4	132	12	0.294117647058824	0.970588235294118	0.555555555555556	0.0294117647058824
topology.sif_run_256__G19_M6.gitsbe	0.6044776	1	6	130	16	0.0588235294117647	0.955882352941177	0.142857142857143	0.0441176470588235
topology.sif_run_392__G19_M3.gitsbe	0.6492537	5	5	131	12	0.294117647058824	0.963235294117647	0.5	0.0367647058823529
topology.sif_run_493__G19_M0.gitsbe	0.64179105	3	5	131	14	0.176470588235294	0.963235294117647	0.375	0.0367647058823529
topology.sif_run_6__G19_M7.gitsbe	0.63432837	2	3	133	15	0.117647058823529	0.977941176470588	0.4	0.0220588235294118
topology.sif_run_298__G19_M0.gitsbe	0.6641791	3	5	131	14	0.176470588235294	0.963235294117647	0.375	0.0367647058823529
topology.sif_run_295__G19_M19.gitsbe	0.64179105	4	6	130	13	0.235294117647059	0.955882352941177	0.4	0.0441176470588235
topology.sif_run_370__G19_M2.gitsbe	0.63432837	3	9	127	14	0.176470588235294	0.933823529411765	0.25	0.0661764705882353
topology.sif_run_167__G19_M3.gitsbe	0.619403	4	1	135	13	0.235294117647059	0.992647058823529	0.8	0.00735294117647059
topology.sif_run_201__G19_M5.gitsbe	0.6268657	2	5	131	15	0.117647058823529	0.963235294117647	0.285714285714286	0.0367647058823529
topology.sif_run_240__G19_M1.gitsbe	0.6492537	3	6	130	14	0.176470588235294	0.955882352941177	0.333333333333333	0.0441176470588235
topology.sif_run_449__G19_M2.gitsbe	0.6492537	0	5	131	17	0	0.963235294117647	0	0.0367647058823529
topology.sif_run_459__G19_M2.gitsbe	0.6044776	3	4	132	14	0.176470588235294	0.970588235294118	0.428571428571429	0.0294117647058824
topology.sif_run_206__G19_M2.gitsbe	0.6119403	1	3	133	16	0.0588235294117647	0.977941176470588	0.25	0.0220588235294118
topology.sif_run_283__G19_M3.gitsbe	0.6641791	5	5	131	12	0.294117647058824	0.963235294117647	0.5	0.0367647058823529
topology.sif_run_269__G19_M2.gitsbe	0.67164177	6	6	130	11	0.352941176470588	0.955882352941177	0.5	0.0441176470588235
topology.sif_run_178__G19_M1.gitsbe	0.6567164	3	5	131	14	0.176470588235294	0.963235294117647	0.375	0.0367647058823529
topology.sif_run_146__G19_M5.gitsbe	0.6044776	1	5	131	16	0.0588235294117647	0.963235294117647	0.166666666666667	0.0367647058823529
topology.sif_run_220__G19_M3.gitsbe	0.6492537	3	10	126	14	0.176470588235294	0.926470588235294	0.230769230769231	0.0735294117647059
topology.sif_run_108__G19_M1.gitsbe	0.64179105	2	9	127	15	0.117647058823529	0.933823529411765	0.181818181818182	0.0661764705882353
topology.sif_run_278__G19_M2.gitsbe	0.6268657	3	9	127	14	0.176470588235294	0.933823529411765	0.25	0.0661764705882353
topology.sif_run_86__G19_M8.gitsbe	0.6567164	5	4	132	12	0.294117647058824	0.970588235294118	0.555555555555556	0.0294117647058824
topology.sif_run_157__G19_M1.gitsbe	0.6119403	1	4	132	16	0.0588235294117647	0.970588235294118	0.2	0.0294117647058824
topology.sif_run_23__G19_M3.gitsbe	0.67164177	5	4	132	12	0.294117647058824	0.970588235294118	0.555555555555556	0.0294117647058824
topology.sif_run_250__G19_M3.gitsbe	0.6044776	2	6	130	15	0.117647058823529	0.955882352941177	0.25	0.0441176470588235
topology.sif_run_449__G19_M1.gitsbe	0.6492537	1	6	130	16	0.0588235294117647	0.955882352941177	0.142857142857143	0.0441176470588235
topology.sif_run_17__G19_M3.gitsbe	0.63432837	3	4	132	14	0.176470588235294	0.970588235294118	0.428571428571429	0.0294117647058824
topology.sif_run_291__G19_M2.gitsbe	0.6492537	4	5	131	13	0.235294117647059	0.963235294117647	0.444444444444444	0.0367647058823529
topology.sif_run_475__G19_M3.gitsbe	0.6567164	5	7	129	12	0.294117647058824	0.948529411764706	0.416666666666667	0.0514705882352941
topology.sif_run_456__G19_M0.gitsbe	0.6641791	4	6	130	13	0.235294117647059	0.955882352941177	0.4	0.0441176470588235
topology.sif_run_101__G19_M2.gitsbe	0.6641791	5	4	132	12	0.294117647058824	0.970588235294118	0.555555555555556	0.0294117647058824
topology.sif_run_385__G19_M0.gitsbe	0.6567164	6	5	131	11	0.352941176470588	0.963235294117647	0.545454545454545	0.0367647058823529
topology.sif_run_265__G19_M4.gitsbe	0.6492537	0	5	131	17	0	0.963235294117647	0	0.0367647058823529
topology.sif_run_132__G19_M9.gitsbe	0.6492537	3	5	131	14	0.176470588235294	0.963235294117647	0.375	0.0367647058823529
topology.sif_run_427__G19_M1.gitsbe	0.6492537	5	10	126	12	0.294117647058824	0.926470588235294	0.333333333333333	0.0735294117647059
topology.sif_run_289__G19_M1.gitsbe	0.6492537	4	5	131	13	0.235294117647059	0.963235294117647	0.444444444444444	0.0367647058823529
topology.sif_run_18__G19_M0.gitsbe	0.6567164	3	5	131	14	0.176470588235294	0.963235294117647	0.375	0.0367647058823529
topology.sif_run_98__G19_M10.gitsbe	0.6567164	2	2	134	15	0.117647058823529	0.985294117647059	0.5	0.0147058823529412
topology.sif_run_293__G19_M3.gitsbe	0.64179105	0	5	131	17	0	0.963235294117647	0	0.0367647058823529
topology.sif_run_130__G19_M2.gitsbe	0.63432837	4	4	132	13	0.235294117647059	0.970588235294118	0.5	0.0294117647058824
topology.sif_run_36__G19_M3.gitsbe	0.6492537	2	7	129	15	0.117647058823529	0.948529411764706	0.222222222222222	0.0514705882352941
topology.sif_run_125__G19_M2.gitsbe	0.6044776	2	7	129	15	0.117647058823529	0.948529411764706	0.222222222222222	0.0514705882352941
topology.sif_run_254__G19_M1.gitsbe	0.6268657	2	6	130	15	0.117647058823529	0.955882352941177	0.25	0.0441176470588235
topology.sif_run_274__G19_M1.gitsbe	0.6641791	3	5	131	14	0.176470588235294	0.963235294117647	0.375	0.0367647058823529
topology.sif_run_100__G19_M2.gitsbe	0.6268657	1	10	126	16	0.0588235294117647	0.926470588235294	0.0909090909090909	0.0735294117647059
topology.sif_run_112__G19_M1.gitsbe	0.64179105	5	4	132	12	0.294117647058824	0.970588235294118	0.555555555555556	0.0294117647058824
topology.sif_run_171__G19_M0.gitsbe	0.6492537	4	5	131	13	0.235294117647059	0.963235294117647	0.444444444444444	0.0367647058823529
